StockCode,Discount,ReturnRate,Quantity,NetProfit,NetRevenue,HighReturnRisk
10002,0.11102940177464156,0.0,823,146.52587582044384,636.2108758204438,0
10080,0.08373900153308467,0.0,291,26.44573679381346,106.53273679381346,0
10120,0.1137455157662026,0.0,192,8.00621385599084,36.23021385599084,0
10123C,0.05273133759754619,0.0,5,0.8586566601705812,3.1336566601705806,0
10124A,0.13575765151381922,0.0,16,0.9658136791051123,5.669813679105112,0
10124G,0.15075669275740064,0.0,17,1.0512407607348682,6.049240760734868,0
10125,0.09560569717046212,0.0,1223,170.04376667925945,819.4687666792594,0
10133,0.10597697322237863,0.00419639110365086,2373,213.63838568983115,1010.9313856898311,0
10135,0.10048134353711129,0.0005194805194805195,1924,326.242288405838,1564.675288405838,0
11001,0.09512944096396383,0.12918994413407822,1247,417.93500939565394,1779.1200093956538,0
15030,0.08283755208454859,0.0,140,9.558409172770165,37.978409172770164,0
15034,0.10280201353546543,0.1774730907227063,6419,132.3610574709236,620.3030574709236,0
15036,0.09618509632882727,0.032908704883227176,21864,3216.883024841649,14441.691024841648,0
15039,0.09618059367948403,0.016414141414141416,1558,239.83664262669134,1032.4466426266913,0
15044A,0.09508866245779608,0.002364066193853428,422,247.77579853698495,1109.181798536985,0
15044B,0.08965629247141531,0.0032467532467532465,307,188.04950141179276,794.0045014117927,0
15044C,0.09110483596449198,0.010948905109489053,271,157.1286013715041,702.743601371504,0
15044D,0.08816745593481966,0.003169572107765452,629,372.9156228617555,1585.8686228617555,0
15056BL,0.10392833879279413,0.044719642242862054,2777,2761.55251556714,13397.17751556714,0
15056N,0.1006912932617591,0.011829652996845425,3759,3863.420611436576,18109.505611436576,0
15056P,0.10110705439123135,0.01288659793814433,766,800.54981019773,3761.40981019773,0
15058A,0.1560123234594578,0.07692307692307693,60,58.31500899891959,341.8150089989196,0
15058B,0.16432002682278882,0.1111111111111111,40,39.38588109355104,228.38588109355103,0
15058C,0.1105528609764108,0.0,160,111.64056338551364,554.0405633855137,0
15060B,0.10315964397268203,0.0024449877750611247,408,300.18453009326566,1320.7845300932656,0
16008,0.09632955374234543,0.0,2892,72.51463629903682,325.0116362990368,0
16010,0.08108000118490606,0.0,30,0.7847624792570957,3.3047624792570955,0
16011,0.08586334695240222,0.0,1749,76.42553362835918,333.5285336283592,0
16012,0.09330368187129996,0.0,1196,53.01353027408627,228.82553027408625,0
16014,0.09400925985564623,0.0,13328,986.343724230531,4021.3757242305305,0
16015,0.10649348746439462,0.0,662,50.563007080312524,253.54900708031252,0
16016,0.10559219703513466,0.0,1273,203.64717002975982,941.0621700297597,0
16020C,0.0990291986105711,0.0,6,1.1483293615905743,4.718329361590574,0
16033,0.09119813611519002,0.0,840,16.75979113133785,87.31979113133784,0
16043,0.11175878758950886,0.0,98,2.0705223816404534,10.302522381640452,0
16045,0.10275754461508155,0.0,8700,72.53987459204701,332.939874592047,0
16046,0.10589806295143286,0.0,63,9.231557500436113,46.71655750043611,0
16048,0.0935839044837218,0.0,1434,36.76564799788993,167.30164799788992,0
16049,0.07849903148659317,0.0,504,18.415480493907676,75.87148049390767,0
16052,0.08548583210386873,0.0,467,20.165410656562564,93.86841065656256,0
16054,0.10743433164513674,0.0847723704866562,1166,27.32428849313734,125.68828849313732,0
16151A,0.12084482607957968,0.0,49,12.156305576772814,55.031305576772816,0
16156L,0.0774310508139829,0.0,475,44.378557025454555,184.02855702545455,0
16156S,0.10192935881525696,0.0,5800,461.7242358617986,2093.4242358617985,0
16161G,0.10291019291600084,0.0,700,14.368051920028625,63.36805192002862,0
16161M,0.1829728780440897,0.0,25,1.2287847805370582,8.578784780537058,0
16161P,0.10506901393867372,0.0034597287572654305,7201,594.1314763169202,2680.42547631692,0
16161U,0.09661968137584587,0.006097560975609756,4075,344.98000940405353,1526.2300094040534,0
16162L,0.1005011861335609,0.0,17,2.1758213929442025,9.910821392944202,0
16162M,0.04948611402846378,0.0,26,2.730366464885045,10.374366464885044,0
16168M,0.08335864306354093,0.0,329,29.85415222584377,126.58015222584376,0
16169E,0.09828673154248095,0.0268067767531632,4538,372.08092792389886,1689.4529279238989,0
16169K,0.13087513641222834,0.0,200,14.206488541372819,73.00648854137282,0
